h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative uu,RMSE uu
0.08,1.8,52.0,0.2,0.8479533116111725,0.7507293067809776,2.5024980641784618,0.0337292836592882
0.08,1.8,52.0,0.3,1.7017003215662394,1.4700578224219563,2.1763392994858584,0.029333235706343483
0.08,1.8,52.0,0.4,2.2491134903155614,1.9006463341054913,1.957856983778972,0.02638847738404885
0.08,1.8,52.0,0.5,2.5189611026943006,2.0908088366786934,2.417286662207437,0.03258078345094544
0.08,1.8,52.0,0.6,2.5145822264153583,2.04912670069272,3.4821888514367085,0.04693379675555419
0.08,1.8,52.0,0.7,2.2857776604402824,1.8218139856302602,5.008946018291569,0.0675118049054244
0.08,1.8,62.0,0.1,0.4399041531612334,0.33769505308187603,3.8305590847556905,0.05162921633899584
0.08,1.8,62.0,0.2,0.8601024505634349,0.7612502480162862,2.809609272248454,0.03786860396495248
0.08,1.8,62.0,0.3,1.726587681038569,1.4897665329380372,2.4299923724337025,0.03275203413459186
0.08,1.8,62.0,0.4,2.3313580137479772,1.9700860111809992,2.199397741955556,0.02964402305836372
0.08,1.8,62.0,0.5,2.7240962301524565,2.2665005912994265,2.0280811726832058,0.02733497625299879
0.08,1.8,62.0,0.6,2.952861493734513,2.4262711556063294,2.33142455624853,0.03142351289440554
0.08,1.8,62.0,0.7,3.011956987612358,2.4415881277724827,3.5388076375575195,0.04769691866355867
0.08,1.8,72.0,0.1,0.42267725764360903,0.32543394049135926,4.844894945362192,0.06530068424457303
0.08,1.8,72.0,0.2,0.9250807041983795,0.8189497667732634,3.6500604246264943,0.049196411057439
0.08,1.8,72.0,0.3,1.852612991249252,1.5955021791658182,2.99085025289922,0.04031141442485351
