h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu,RMSE relative Iv,RMSE Iv,RMSE relative Iw,RMSE Iw
0.04,1.2,72.0,0.5,0.20491462958937534,0.16301419155063593,0.8418925905603952,0.19169414492855383,0.616909067964503,0.07682096453854491,0.9167644976643432,0.1667742158292341
0.04,1.2,92.0,0.3,0.1179639442270595,0.10112233299418212,0.49558604069277495,0.128297219638576,0.29946400610344565,0.04424965202389191,0.5244825579145297,0.10395967187081857
0.04,1.2,92.0,0.4,0.17482063190494762,0.14290361788088118,0.6440684379307003,0.15513212149906985,0.3911007879459,0.051284401685076864,0.6772773731643056,0.12853244014333604
0.04,1.2,92.0,0.5,0.21497367110850585,0.17105779557432152,0.8054963885085538,0.1862234871548939,0.5493437042134164,0.06915206466526409,0.8338227591770313,0.15379530030544888
0.04,1.5,52.0,0.3,0.08578402743987505,0.06927642198878671,0.6589643426916776,0.16782129820168482,0.4147381250189649,0.06014166063968567,0.6814856597133824,0.13316879144972008
0.04,1.5,52.0,0.4,0.09512946606923227,0.08164567481938927,0.8072689876968254,0.1932744027062982,0.5315961805743417,0.07025030461129307,0.84562345979356,0.15842561947429168
0.04,1.5,52.0,0.5,0.10881008446334388,0.09045757245248302,0.9818398006660523,0.2251046867873246,0.7023120930421257,0.08920414028412159,1.0184973532086106,0.18533666426846232
0.04,1.5,72.0,0.3,0.095880392063888,0.08229744068335575,0.5583457166206208,0.14494784183442802,0.3478710986650204,0.05161328383890378,0.6209884380654445,0.12240907211704719
0.04,1.5,72.0,0.4,0.1442366201294499,0.12081095144308966,0.6966668969335914,0.16888920005450633,0.45188435493892576,0.05990846576870391,0.7712124982898327,0.1460739620651145
0.04,1.5,72.0,0.5,0.18478352368354672,0.1494975741842596,0.8631717241496266,0.19935109045575444,0.6207419353976376,0.07849593370227695,0.9331549429879127,0.17145349303513982
0.04,1.5,92.0,0.3,0.09903634225204269,0.08521123097379776,0.556050630583389,0.14501834528371146,0.33006277702532205,0.049784349217903145,0.5748116189623882,0.11518307469650023
0.04,1.5,92.0,0.4,0.1497592883282482,0.12500632342606746,0.680112518562282,0.16658179235022078,0.4100650178284834,0.0554092770466485,0.7083733716875343,0.13626726911352186
0.04,1.5,92.0,0.5,0.196139278038772,0.15833366622414152,0.8246983811609007,0.19335128869181775,0.557186049892896,0.07140141627673616,0.8514064867941766,0.1587804811487114
0.04,1.8,52.0,0.3,0.10384417904871332,0.07581884098374905,0.7320771966971398,0.18694728191309112,0.4603151561714621,0.06728230212003179,0.7411017230595708,0.14562118489396655
0.04,1.8,52.0,0.4,0.0822147277369293,0.06965997818350661,0.8572761686877793,0.20782064851199747,0.5625764589216733,0.07567374302123087,0.8867420785728337,0.1677145482318288
0.04,1.8,52.0,0.5,0.08917215345015511,0.0762486983263755,1.0135743175224323,0.23541895350024344,0.7188583112453036,0.09253534571813035,1.0452669882059769,0.1919984743512947
0.04,1.8,72.0,0.3,0.09359067737027833,0.07445500647892843,0.6258258294059459,0.16274650509599217,0.38593606336070174,0.05775461036900653,0.6772173870565127,0.13413900872257034
0.04,1.8,72.0,0.4,0.11821886924919392,0.10160671780093306,0.7421834471189629,0.18226980596842687,0.47787132889585127,0.06467391905777008,0.8093870721622843,0.15481563212801022
0.04,1.8,72.0,0.5,0.15999901943594017,0.1323589936773138,0.8916875738073617,0.20869264507275484,0.6337071959227492,0.0813118265195804,0.9577846075010874,0.17771887070133716
0.04,1.8,92.0,0.3,0.09358376609023046,0.0757271097393153,0.6170165861809965,0.16101052490286027,0.36581061415007293,0.055645452540133554,0.6335515544342561,0.12754207320166444
0.04,1.8,92.0,0.4,0.12393572859948149,0.1060946912191092,0.7215998222162944,0.17871829700804956,0.4338577342275398,0.05989532117462485,0.7489041774625393,0.1455720118568814
0.04,1.8,92.0,0.5,0.172006720598345,0.1416488819831791,0.8503829677066831,0.20186260245934676,0.5689850818164932,0.07400598815387605,0.8776705701897811,0.16544191052390134
0.04,2.1,52.0,0.3,0.12658131681424228,0.08903144099868313,0.7920696411095516,0.20236502115578112,0.5126527816175047,0.07564693615799394,0.7922431383727733,0.1562884118540184
0.04,2.1,52.0,0.4,0.0846466374316023,0.06791568134803953,0.8986473680702919,0.2199580803197029,0.5934651986683608,0.08127082813213629,0.9195928285466207,0.1752781393224436
0.04,2.1,52.0,0.5,0.08161242266205129,0.06999632370443086,1.038496799119501,0.24403619796271733,0.7323665257460469,0.09558163515459142,1.0641545797946046,0.19701741557022676
0.04,2.1,72.0,0.3,0.10701556693392458,0.07909145874205922,0.6821686053314474,0.17738005401988455,0.4350258238709739,0.0656625621502341,0.7240057230327489,0.1439875124516222
0.04,2.1,72.0,0.4,0.10513495232801359,0.09093574683699258,0.7804714676411734,0.19363896206472872,0.5050602290481591,0.06978336925504817,0.8383293944715358,0.16163331217108218
0.04,2.1,72.0,0.5,0.14456666534143225,0.12171084730068332,0.9138823716896924,0.21655460298712986,0.6442396861384447,0.08392244452499849,0.9737636724785504,0.18211846754122551
0.04,2.1,92.0,0.3,0.10360159376409328,0.07805999124926245,0.6687180879088048,0.1743654006674316,0.41291589221798636,0.06332376472338988,0.679444216063753,0.13721758976495468
0.04,2.1,92.0,0.4,0.11042428275054501,0.0954993647997724,0.757444947375667,0.18929470388003417,0.4598826034381886,0.06483649534494168,0.7784620427990611,0.15245820237028399
0.04,2.1,92.0,0.5,0.15674998965644493,0.131135394550407,0.8713018315685556,0.20927234303748746,0.5786746782944027,0.07645702526082963,0.8942033732544165,0.16992303515259402
0.04,2.4,52.0,0.3,0.14921213332203048,0.10371599103487107,0.8491540399747134,0.21653711743573242,0.5657178645598783,0.08364770067510492,0.8404977557736873,0.16584000321309242
0.04,2.4,52.0,0.4,0.09425132404995937,0.07124015782794836,0.9416976297886618,0.23179215688661178,0.6292852785119613,0.08719749376495459,0.9555847759337996,0.1830376375372519
0.04,2.4,52.0,0.5,0.07956768732337904,0.06678611104465734,1.0678585911168947,0.2531271761496102,0.7542154675154739,0.0995508640290134,1.089443349065243,0.20299777673866476
0.04,2.4,72.0,0.3,0.12558218211020536,0.0892619698309127,0.7371628043271152,0.19121366285215952,0.48395136918490017,0.07309508530936232,0.7676029647270771,0.15267721362619768
0.04,2.4,72.0,0.4,0.09911292863102329,0.08433846163996378,0.8215127783501105,0.20508420024710525,0.5376608892845325,0.07526382841849734,0.8713678264422207,0.16881869401738614
0.04,2.4,72.0,0.5,0.13197756491938462,0.11270450090781944,0.9410477075320056,0.22516412041921552,0.6630918441056589,0.08748638858586356,0.9963609798363264,0.1875904265388084
0.04,2.4,92.0,0.3,0.11890264312337853,0.08567836088598874,0.7183001510068978,0.1868002066790812,0.46120583652992125,0.0707147019615171,0.7205978053223006,0.14546554876468945
0.04,2.4,92.0,0.4,0.1029224000101942,0.0884830759076801,0.795154782163294,0.19972807583248675,0.4933386395546705,0.07048195720715042,0.809607398638616,0.15916996471535483
0.04,2.4,92.0,0.5,0.14419322975888985,0.12226049997820859,0.8966427852093017,0.21722826214717506,0.5977330316842105,0.0801330867752457,0.9153771601528632,0.17499356367875957
0.04,2.7,52.0,0.3,0.17975747807002634,0.1247308943812051,0.905053817283269,0.23011679268849172,0.6080915293191341,0.08936134382281179,0.890485099615647,0.17547421305021912
0.04,2.7,52.0,0.4,0.1144009271961229,0.08199634750201909,0.9862317635430301,0.24350763851991628,0.6651984742447349,0.09254195073860325,0.9960505378091152,0.19139358239754176
0.04,2.7,52.0,0.5,0.08466177931194034,0.06686935528170596,1.0998412269812807,0.26248591572225854,0.7802781197330008,0.10381666616519238,1.1204625297839723,0.2099984336474271
0.04,2.7,72.0,0.3,0.1537010894423533,0.10723210736366995,0.7918125517110625,0.20467579775757289,0.5232400836100428,0.07847708327252051,0.8132777701424395,0.16155276524070086
0.04,2.7,72.0,0.4,0.10128516953610865,0.08158973004728211,0.8645248209499093,0.21659640991421522,0.5714628318632611,0.0804490773660099,0.9093148963532882,0.17662540462763707
0.04,2.7,72.0,0.5,0.11745778951775354,0.10130246237237385,0.9712275289068463,0.23421220775437712,0.6865043727007328,0.09152858107289125,1.025173271478114,0.19411671535815264
0.04,2.7,92.0,0.3,0.14363648000636076,0.10077220371961548,0.767298837424465,0.1989253525914575,0.4981166291574477,0.07570868435128811,0.7633261721800398,0.15380696483803677
0.04,2.7,92.0,0.4,0.10079675005766399,0.08346821397637963,0.8343230242695191,0.21015818441631906,0.5281892437954148,0.07569465505205933,0.8442254549870858,0.16637487021336306
0.04,2.7,92.0,0.5,0.12818793539270856,0.11013787646862389,0.924547420256705,0.22549075704807373,0.6229791347114295,0.08440497557176183,0.9418633685067566,0.1810341142690235
0.04,3.0,52.0,0.3,0.20292674252997334,0.1412371142574343,0.9497516607511681,0.24062665012506515,0.6583274453495628,0.09656198170065312,0.9298500701999102,0.18306185791864363
0.04,3.0,52.0,0.4,0.1317814738107499,0.09279523465595126,1.022673837824386,0.25301024876253947,0.7023666154072994,0.0982716744079062,1.0275915727469167,0.19793640803577356
0.04,3.0,52.0,0.5,0.09437693981510945,0.07163022915321349,1.1254638142722553,0.27020179981525977,0.8036336236299951,0.10784649533103999,1.1420161614659163,0.21504029221132526
0.04,3.0,72.0,0.3,0.1755554585062959,0.12201125023753887,0.8363631882761516,0.21530504433504946,0.5743470877330995,0.0858918485267927,0.8471025826324597,0.16811906850297353
0.04,3.0,72.0,0.4,0.108855579810602,0.08383233488564391,0.9005680760553827,0.22612754309391297,0.6086484391265773,0.08633721798158643,0.9371245455051732,0.1823596303351773
0.04,3.0,72.0,0.5,0.11031323757188591,0.09494049075732056,0.9961462776582315,0.24186294351210966,0.7087209150153292,0.09556189532118295,1.0437449906903027,0.1984844185819853
0.04,3.0,92.0,0.3,0.16245346081542164,0.11295773276956647,0.8075784429679405,0.20855289725992346,0.5455110821649598,0.08258568908144655,0.7963828242777428,0.1602516937492863
0.04,3.0,92.0,0.4,0.10346392823981054,0.08219665296419149,0.8674261006852967,0.21887600606687335,0.5641079860709123,0.08130502053067114,0.8712098595740629,0.17197399555123585
