h,x,r,alpha,RMSE relative u,RMSE u,RMSE relative Iu,RMSE Iu,RMSE relative Iv,RMSE Iv,RMSE relative Iw,RMSE Iw
0.08,1.8,57.0,0.5,0.2930145435842977,0.23232657445450364,0.5501033504737313,0.12505223762261428,0.2928368375774578,0.03512612276785601,0.6250984617684358,0.11193662322856132
0.08,1.8,57.0,0.55,0.30330716343002073,0.2377010817881435,0.6533860305101413,0.1437564268343591,0.3834552745663264,0.04443023041816873,0.7357399959961467,0.12887198298122216
0.08,1.8,62.0,0.35,0.2134636046875408,0.1782885866481053,0.2684920390180149,0.07531766706976528,0.3436840235102549,0.04458273065250637,0.256967753153097,0.05432478487116973
0.08,1.8,62.0,0.4,0.2599249747079398,0.21213488740869393,0.29442609384734075,0.07916687684916665,0.25682786167901095,0.03367093816097156,0.3323478954167912,0.06581169334279965
0.08,1.8,62.0,0.45,0.2977212902619515,0.23896740543129324,0.35950600705920943,0.08927023894433418,0.2134323739475571,0.027093846025150196,0.4217685638665754,0.07939529793694686
0.08,1.8,62.0,0.5,0.3271407268328916,0.25940628392726883,0.44323348692423803,0.10337430402188968,0.23751724763413992,0.02812792447447335,0.5169397841404183,0.0939756236969731
0.08,1.8,62.0,0.55,0.34876172419233703,0.2739017808230662,0.5388261224614863,0.12038179488927651,0.3223585675708781,0.037043352785157815,0.6204317080590608,0.10976599915105324
0.08,1.8,67.0,0.35,0.22904604730174552,0.19053913288539331,0.24755339510621321,0.06747749105561189,0.39894516023589854,0.05111914008115283,0.1817289864175502,0.04040227790658926
0.08,1.8,67.0,0.4,0.2811454793609728,0.22879508170400478,0.2391983189155234,0.06672952584294388,0.3046382419163478,0.0396338477506891,0.24141170156078948,0.04989319123412269
0.08,1.8,67.0,0.45,0.3248482911675214,0.2602997332666642,0.27922282348778527,0.0728788453543493,0.2349281342834323,0.030558785405969697,0.3228108533705918,0.06229981755323771
0.08,1.8,67.0,0.5,0.36016142730592365,0.2854072193434446,0.34908115797815614,0.08424103328697193,0.2156038451596576,0.026737568318298908,0.4134382298278228,0.07613009166726718
0.08,1.8,67.0,0.55,0.3882329854029373,0.3050225186678594,0.4365770172577032,0.09938251094162934,0.26639532392500986,0.031118585291542895,0.5149684947580698,0.09151489553791041
0.08,1.8,72.0,0.35,0.2438327158522511,0.20199545114467604,0.2478660795130029,0.06425850643217688,0.4775003006346726,0.060891955179038185,0.1510377680759919,0.03400316161087194
0.08,1.8,72.0,0.4,0.29821030988541003,0.24191112297636594,0.21386250833350637,0.05969701134332116,0.3787855982754681,0.04914986704569524,0.18730721316773072,0.04033090203329796
0.08,1.8,72.0,0.45,0.34376075149320084,0.274794298701346,0.2323664388783538,0.0625504240652086,0.29597664571806487,0.03892934421594059,0.2618120437790712,0.051448488709641964
0.08,1.8,72.0,0.5,0.3802972034130654,0.3008027423120509,0.289841725684245,0.07164576185492125,0.24681144301616603,0.03209191201212289,0.34820392774671494,0.06456005784209971
0.08,1.8,72.0,0.55,0.40907239010779534,0.32090963878737266,0.36933913178841005,0.08520319328796665,0.25786321135447166,0.03162843682794098,0.44316938856992355,0.07908014071683349
0.08,1.5,52.0,0.35,0.26227282822320536,0.21334533972099898,0.2759867587249873,0.07348628395467752,0.34638101278489586,0.04551424455854296,0.31304229305516146,0.05882231968424272
0.08,1.5,52.0,0.4,0.2978318352376361,0.2379618724804412,0.36540379300811787,0.08716562612255793,0.28499109137719114,0.037004863634880966,0.43045715529183554,0.07691308881068153
0.08,1.5,52.0,0.45,0.31851651778237705,0.250902122274279,0.4797579527539974,0.10675154871724517,0.29314627739040855,0.03583162982468549,0.5520184083048939,0.09608046569577224
0.08,1.5,52.0,0.5,0.3269896542711796,0.2545196034231008,0.5972397483182059,0.12844877397651724,0.36094779443696884,0.04218275820742021,0.6707822620964989,0.11510375744307626
0.08,1.5,52.0,0.55,0.32324202893510967,0.2487265667597532,0.7110074903252335,0.1505037684531975,0.4689653934620489,0.05410746158002847,0.7909249752801243,0.13435955188559368
0.08,1.5,57.0,0.35,0.2678577787043596,0.21765514595197777,0.2274146345351827,0.0626863378156092,0.49299140644400585,0.06517134994147497,0.243171617289745,0.04747754602872344
0.08,1.5,57.0,0.4,0.3067098274640448,0.24494267693068233,0.2897979375557904,0.07210879886156284,0.39309618505608485,0.05317588153978595,0.3503331281297714,0.06407579618237068
0.08,1.5,57.0,0.45,0.33276533780788853,0.2622516894097758,0.3904323206803778,0.08894633362803152,0.33554433453207055,0.04515519163299469,0.46352786212770763,0.08194006531495797
0.08,1.5,57.0,0.5,0.3486958226372588,0.2719253712174662,0.5007013512381552,0.10894559456113816,0.33826174744245624,0.04328101738958485,0.5775652304702169,0.10005788942430505
