x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	vw-reynolds-stress	uw-reynolds-stress	uv-reynolds-stress	pseudo_Iu	pseudo_Iv	pseudo_Iw	pseudo_Iuv	x-velocity-magnitude	h	r
1.2	0.500342	0.0	12.2608	0.0	0.0	2.4420937984	1.1373582609	1.5117440209	0.0	0.0	0.711013	0.12745660968289182	0.08698208926008091	0.10028138457523164	0.0687733156051917	12.3717	0.06	67
1.2	0.495407	0.0	12.2186	0.0	0.0	2.4710896809000005	1.1494627369	1.5370296529	0.0	0.0	0.716093	0.12865385559720427	0.08774573191691355	0.1014657980456026	0.06925693482928014	12.3305	0.06	67
1.2	0.490472	0.0	12.1685	0.0	0.0	2.5010789904	1.1607476644	1.5591018496	0.0	0.0	0.72392	0.12996507375600938	0.0885384394132391	0.10261248305049923	0.06992109825361727	12.2833	0.06	67
1.2	0.485537	0.0	12.1092	0.0	0.0	2.5269871225	1.1699883556	1.5715129600000002	0.0	0.0	0.736086	0.13127621973375617	0.08932547154229843	0.1035245928715357	0.07085146370119014	12.2274	0.06	67
1.2	0.480602	0.0	12.0519	0.0	0.0	2.5535400804	1.1798521640999995	1.5857861184	0.0	0.0	0.748019	0.13259154158265501	0.0901276977074154	0.10448808901501008	0.07176303459690776	12.1705	0.06	67
1.2	0.475667	0.0	12.0073	0.0	0.0	2.5866932224	1.1905646768999998	1.6112748096	0.0	0.0	0.753495	0.13394518334679736	0.09087221939986508	0.10571568962214653	0.07229276337344963	12.1286	0.06	67
1.2	0.470732	0.0	11.9639	0.0	0.0	2.6184741489000003	1.2010406464	1.6370434809000003	0.0	0.0	0.759341	0.13525439029079148	0.09160223672882588	0.10694422387348608	0.07283592677285333	12.0873	0.06	67
1.2	0.465797	0.0	11.8952	0.0	0.0	2.6518168336000003	1.21242121	1.6567551225	0.0	0.0	0.771843	0.1368989172103033	0.09256674961328938	0.10820751227385836	0.0738571825458118	12.0214	0.06	67
1.2	0.460862	0.0	11.8274	0.0	0.0	2.6823560841000003	1.2225282624	1.6737631875999996	0.0	0.0	0.784215	0.13847422087694675	0.09348462045758155	0.10938498740213401	0.07487352633707398	11.9543	0.06	67
1.2	0.455927	0.0	11.7829	0.0	0.0	2.7112915600000003	1.2310346304000002	1.6967407081	0.0	0.0	0.789838	0.13974488453606498	0.09416357602967013	0.11054918568433919	0.07542526075407087	11.9117	0.06	67
1.2	0.450992	0.0	11.7381	0.0	0.0	2.7401836225000005	1.2406618225	1.7205306561	0.0	0.0	0.795072	0.14102367504110547	0.09489184791405765	0.11174636440309761	0.07596358010984078	11.8696	0.06	67
1.2	0.446057	0.0	11.6769	0.0	0.0	2.7604493316	1.24791241	1.7291987001000002	0.0	0.0	0.805628	0.14228605194871927	0.09566751449442917	0.11261464943606608	0.07686696167092871	11.81	0.06	67
1.2	0.441122	0.0	11.6125	0.0	0.0	2.77922241	1.2552289369000005	1.7372030809	0.0	0.0	0.816417	0.14356081808396123	0.09647965554359529	0.11350096878363831	0.07780908220881523	11.7459	0.06	67
